appendix_pilot,instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,0,0,1.5261339999999999,1.526134,40,14003,8961,8,515.7,53,1,1,1,1,1,0.125,0.375,0.375,0.375,8,0.5,0.5,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,0,0,1.3283302500000003,1.32833,40,12512,10538,7,437.83,42,1,1,1,1,1,0.125,0.125,0.125,0.375,8,0.5714,0.5,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,0,0,0.6890148800000001,0.689015,68,212042,7446,7,569.62,103,14,0,0,0,0,0.0,0.0,0.0,0.0,8,0.7143,0.625,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,0,0,2.0780052500000004,2.078005,61,19175,11264,10,436.23,80,1,1,1,1,1,0.125,0.125,0.125,0.25,8,0.6,0.75,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,aider,l1,Aider,0,kimi,resolved,1,1,1,1,0,0,0.06903485,0.069035,4,35524,3414,2,164.32,2,1,1,1,1,1,0.125,0.25,0.25,0.25,8,1.0,0.25,surfaced_v2
1,instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,pro,go,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,1,0,0,0.63665,0.63665,4,3664,0,0,56.46,11,2,0,1,1,1,0.0,0.125,0.375,0.375,8,,0.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,on,SC-ON,0,kimi,resolved,1,1,1,1,12,12,0.25800398999999996,0.258004,26,95275,3196,2,219.32,14,8,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,off,SC-OFF,0,kimi,resolved,1,1,1,1,12,12,0.17173025999999994,0.17173,24,72131,3162,2,217.11,17,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,12,12,0.5502410000000001,0.550241,19,5137,3077,2,152.63,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,12,12,0.3544485000000001,0.354449,19,5005,3115,2,131.05,16,7,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,12,12,0.18493925000000003,0.184939,24,89642,3474,2,200.08,18,5,0,0,1,1,0.0,0.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,12,12,0.5016312500000001,0.501631,21,7041,3104,2,122.98,11,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,aider,l1,Aider,0,kimi,resolved,1,1,1,1,12,12,0.060226180000000004,0.060226,4,29699,1709,1,100.66,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,google__gson-2071,polybench,java,1,aider,l1,Aider,0,opus,resolved,1,1,1,1,12,12,0.18577500000000002,0.185775,2,857,1799,1,20.44,2,2,0,1,1,1,0.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,supercoder,on,SC-ON,0,opus,unresolved,1,0,0,2,0,88,0.42413375,0.424134,14,4445,0,0,246.17,20,,0,0,0,0,0.0,0.0,0.0,0.0,1,,0.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,supercoder,off,SC-OFF,0,opus,unresolved,1,0,0,2,88,88,0.74780725,0.747807,31,9111,1035,1,247.85,39,31,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,opencode,l1,OpenCode,0,kimi,unresolved,1,0,0,2,88,88,0.9024898899999998,0.90249,77,241020,1204,1,1476.37,42,13,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,opencode,l1,OpenCode,0,opus,unresolved,1,0,0,2,88,88,1.0259264999999997,1.025926,47,10835,1094,1,397.49,19,11,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,aider,l1,Aider,0,kimi,unresolved,1,0,0,2,88,88,0.042355899999999995,0.042356,2,23982,1261,1,1104.26,2,,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,surfaced_v2
1,keras-team__keras-18553,polybench,python,1,aider,l1,Aider,0,opus,unresolved,1,0,0,2,0,88,0.2935625,0.293563,2,4170,0,0,65.33,2,,0,0,0,0,0.0,0.0,0.0,0.0,1,,0.0,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,supercoder,on,SC-ON,0,kimi,unresolved,1,0,0,4,14,14,0.7525888599999999,1.348811,71,253394,756,1,674.06,37,1,1,1,1,1,0.2,0.4,0.8,1.0,5,1.0,0.2,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,supercoder,off,SC-OFF,0,kimi,unresolved,1,0,0,4,14,14,0.6622730600000003,0.74863,66,191003,755,1,1190.56,100,2,0,1,1,1,0.0,0.4,0.4,0.6,5,1.0,0.2,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,supercoder,on,SC-ON,0,opus,unresolved,1,0,0,4,14,14,0.9305679999999998,0.930568,26,5945,1849,2,235.51,18,2,0,1,1,1,0.0,0.4,0.6,0.8,5,1.0,0.4,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,supercoder,off,SC-OFF,0,opus,unresolved,1,0,0,4,14,14,0.8964982499999999,0.896498,40,7535,3286,4,275.36,46,16,0,0,0,0,0.0,0.0,0.0,0.0,5,1.0,0.8,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,opencode,l1,OpenCode,0,kimi,unsolved_timeout,1,0,0,4,14,14,0.9432887500000001,1.895084,45,243841,0,0,1800.64,53,1,1,1,1,1,0.2,0.2,0.2,1.0,5,,0.0,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,opencode,l1,OpenCode,0,opus,resolved,1,1,4,4,14,14,1.3528502500000004,1.35285,42,17573,4915,5,528.21,39,1,1,1,1,1,0.2,0.6,0.8,1.0,5,1.0,1.0,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,aider,l1,Aider,0,kimi,unresolved,1,0,0,4,14,14,0.018815000000000002,0.018815,1,12855,0,0,1617.23,3,2,0,1,1,1,0.0,0.4,0.4,0.4,5,,0.0,surfaced_v2
1,instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,4,14,14,0.35453124999999996,0.354531,2,1037,1588,2,29.3,3,2,0,1,1,1,0.0,0.4,0.4,0.4,5,1.0,0.4,surfaced_v2
1,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,0,0,1.61872525,1.618725,40,12297,14948,3,322.43,52,31,0,0,0,0,0.0,0.0,0.0,0.0,3,0.6667,0.6667,surfaced_v2
1,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,opencode,l1,OpenCode,0,kimi,unresolved,1,0,0,1,0,0,1.7321420599999997,1.732142,112,633673,10542,3,955.69,108,56,0,0,0,0,0.0,0.0,0.0,0.0,3,0.6667,0.6667,surfaced_v2
1,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,opencode,l1,OpenCode,0,opus,unresolved,1,0,0,1,0,0,4.5732407499999965,4.573241,127,46037,14738,3,527.77,22,1,1,1,1,1,0.3333,0.6667,0.6667,0.6667,3,0.6667,0.6667,surfaced_v2
1,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,aider,l1,Aider,0,kimi,unresolved,1,0,0,1,0,0,0.06190942,0.061909,3,43485,0,0,80.96,5,2,0,1,1,1,0.0,0.3333,0.3333,0.3333,3,,0.0,surfaced_v2
1,instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,pro,go,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,1,0,0,0.8653329999999999,0.865333,5,8462,6323,1,106.93,5,2,0,1,1,1,0.0,0.3333,0.6667,0.6667,3,1.0,0.3333,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,supercoder,on,SC-ON,0,kimi,resolved,1,1,1,1,0,0,0.4798108299999999,0.479811,34,183846,2326,2,969.67,74,19,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,0,0,1.20260325,1.202603,34,11361,3556,2,1041.98,31,18,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,0,0,1.1423227500000002,1.142323,39,13134,3804,2,765.45,27,15,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,0,0,0.29318243000000005,0.293182,24,95322,3082,2,743.67,37,23,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,0,0,0.7360292500000001,0.736029,25,10347,2566,2,596.78,37,25,0,0,0,0,0.0,0.0,0.0,0.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,aider,l1,Aider,0,kimi,unresolved,1,0,0,1,0,0,0.05979599,0.059796,4,22077,1883,1,997.44,2,,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,surfaced_v2
1,apache__rocketmq-7745,polybench,java,1,aider,l1,Aider,0,opus,resolved,1,1,1,1,0,0,0.4446772499999999,0.444677,4,3689,1321,1,67.25,3,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,supercoder,on,SC-ON,0,kimi,resolved,1,1,1,1,3,3,0.18739974,0.1874,28,63701,641,1,279.08,76,43,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,supercoder,on,SC-ON,0,opus,resolved,1,1,1,1,3,3,0.3799435,0.379943,14,3152,586,1,98.57,34,13,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,supercoder,off,SC-OFF,0,opus,resolved,1,1,1,1,3,3,0.19526425,0.195264,10,2656,641,1,75.5,11,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,opencode,l1,OpenCode,0,kimi,resolved,1,1,1,1,3,3,0.18326406999999997,0.183264,26,83813,641,1,189.45,187,11,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,opencode,l1,OpenCode,0,opus,resolved,1,1,1,1,3,3,0.307462,0.307462,14,4249,641,1,151.8,22,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,aider,l1,Aider,0,kimi,resolved,1,1,1,1,3,3,0.03205529,0.032055,2,25485,586,1,90.21,4,2,0,1,1,1,0.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,huggingface__transformers-25884,polybench,python,1,aider,l1,Aider,0,opus,unresolved,1,0,0,1,0,3,0.038075,0.038075,1,279,0,0,49.67,3,3,0,1,1,1,0.0,1.0,1.0,1.0,1,,0.0,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,on,SC-ON,0,kimi,unresolved,1,0,0,6,0,0,1.0433515700000002,1.98217,73,295888,3274,4,1553.13,85,1,1,1,1,1,0.25,0.75,1.0,1.0,4,0.5,0.5,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,off,SC-OFF,0,kimi,infra_failed,0,,,,,,,2.335838,,,,,,,,,,,,,,,,,,,
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,on,SC-ON,0,opus,unresolved,1,0,0,6,0,0,1.8433097500000002,1.84331,41,16040,9595,6,247.2,58,14,0,0,0,0,0.0,0.0,0.0,0.0,4,0.5,0.75,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,supercoder,off,SC-OFF,0,opus,unresolved,1,0,0,6,0,0,1.78024575,1.780246,46,15141,5481,4,465.52,63,14,0,0,0,0,0.0,0.0,0.0,0.0,4,0.5,0.5,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,opencode,l1,OpenCode,0,kimi,unsolved_timeout,1,0,0,6,0,0,0.70979098,4.21927,45,347259,0,0,1801.04,27,1,1,1,1,1,0.25,0.75,1.0,1.0,4,,0.0,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,opencode,l1,OpenCode,0,opus,unresolved,1,0,0,6,0,0,0.7669215,0.766922,21,5682,0,0,122.41,28,2,0,1,1,1,0.0,0.5,0.5,1.0,4,,0.0,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,aider,l1,Aider,0,kimi,unresolved,1,0,0,6,0,0,0.05907187,0.059072,4,30479,2334,1,598.24,2,1,1,1,1,1,0.25,0.25,0.25,0.25,4,1.0,0.25,surfaced_v2
1,instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,pro,python,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,6,0,0,0.28835575,0.288356,4,2903,3377,2,60.4,3,1,1,1,1,1,0.25,0.5,0.5,0.5,4,1.0,0.5,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,supercoder,on,SC-ON,0,opus,resolved,1,1,15,15,0,0,1.2943417500000003,1.294342,24,9221,9229,3,195.21,28,6,0,0,0,1,0.0,0.0,0.0,0.25,4,0.6667,0.5,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,supercoder,off,SC-OFF,0,opus,resolved,1,1,15,15,0,0,0.8582652499999999,0.858265,29,10787,10612,4,210.25,12,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.5,0.5,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,opencode,l1,OpenCode,0,kimi,resolved,1,1,15,15,0,0,0.7210710100000001,0.721071,50,259406,9556,4,1018.25,27,3,0,1,1,1,0.0,0.25,0.5,0.5,4,0.5,0.5,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,opencode,l1,OpenCode,0,opus,resolved,1,1,15,15,0,0,1.11564975,1.11565,31,17178,10373,3,441.36,9,1,1,1,1,1,0.25,0.5,0.5,0.5,4,0.6667,0.5,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,aider,l1,Aider,0,kimi,unresolved,1,0,0,15,0,0,0.02116402,0.021164,1,12290,0,0,1681.5,4,2,0,1,1,1,0.0,0.25,0.25,0.25,4,,0.0,surfaced_v2
1,instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,pro,go,3+,aider,l1,Aider,0,opus,unresolved,1,0,0,15,0,0,0.5854625,0.585462,3,6570,0,0,102.95,4,2,0,1,1,1,0.0,0.25,0.5,0.5,4,,0.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,supercoder,on,SC-ON,0,kimi,unresolved,1,0,0,4,0,0,0.058862689999999995,0.058863,9,35834,937,1,104.33,18,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,supercoder,off,SC-OFF,0,kimi,unresolved,1,0,0,4,0,0,0.04484392,0.044844,8,30450,937,1,68.12,21,4,0,0,1,1,0.0,0.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,supercoder,on,SC-ON,0,opus,unresolved,1,0,0,4,0,0,1.30194225,1.301942,30,11057,7934,2,344.02,26,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,supercoder,off,SC-OFF,0,opus,unresolved,1,0,0,4,0,0,0.67788675,0.677887,22,6507,5599,2,252.67,22,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,opencode,l1,OpenCode,0,kimi,unresolved,1,0,0,4,0,0,0.07801255,0.078013,10,49066,937,1,93.36,27,5,0,0,1,1,0.0,0.0,1.0,1.0,1,1.0,1.0,surfaced_v2
1,apache__rocketmq-7426,polybench,java,1,opencode,l1,OpenCode,0,opus,unresolved,1,0,0,4,0,0,0.46161025,0.46161,13,4495,2308,1,120.43,17,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,surfaced_v2
